Customer Number;Customer Name;Age;Gender;Country;Type of Commercial;Direction of Commercial;Time on Website (Min);Items Bought on Website
50;Jessica Perez;39;Kvinna;Sverige;Helsidereklam;Husbil-Lyx;5.03;2
51;Stephanie Baldwin;70;Man;England;Helsidereklam;Husbil-Lyx;0.96;0
52;Kristopher Davis;25;Man;Danmark;Popuppreklam med musik;Husbil-Lyx;0.1;0
53;Courtney Williams;27;Man;Sverige;Sidebarreklam;Husbil-Sport;12.33;1
54;Casey Ford;35;Kvinna;England;Popuppreklam med musik;Husbil-Familj;0.1;0
55;Madison Turner;60;Kvinna;Danmark;Helsidereklam;Husbil-Budget;5.23;1
56;Kim Price;62;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.1;0
57;Andrea Green;58;Man;Sverige;Sidebarreklam;Husbil-Sport;12.27;1
58;Alison Barnes;18;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.1;0
59;Breanna Jackson;28;Man;Sverige;Sidebarreklam;Husbil-Sport;12.27;0
60;Oscar Kennedy;65;Kvinna;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
61;Jared Rivera;42;Man;Tyskland;Popuppreklam med musik;Husbil-Budget;0.1;0
62;Crystal Buchanan;51;Man;Sverige;Sidebarreklam;Husbil-Budget;12.07;0
63;Rebecca Hall;44;Kvinna;Danmark;Sidebarreklam;Husbil-Sport;12.06;0
64;Amber Moses;80;Man;Norge;Helsidereklam;Husbil-Budget;5.39;0
65;Ann Bell;36;Man;Norge;Sidebarreklam;Husbil-Familj;12.02;1
66;Cameron Martin;68;Man;Sverige;Helsidereklam;Husbil-Budget;6.12;2
67;Joseph Wise;58;Man;Norge;Helsidereklam;Husbil-Lyx;6;1
68;Shannon Casey;63;Man;Sverige;Helsidereklam;Husbil-Sport;5.95;1
69;Benjamin Watkins;21;Kvinna;Danmark;Helsidereklam;Husbil-Sport;8.54;0
70;Jeffrey Porter;35;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;0.1;0
71;Sarah Ware;62;Kvinna;Norge;Helsidereklam;Husbil-Sport;7.34;0
72;Eugene Howard PhD;53;Man;Sverige;Helsidereklam;Husbil-Sport;6.19;1
73;Angela Shaw;73;Man;Sverige;Helsidereklam;Husbil-Budget;5.03;0
74;Kyle Tran PhD;52;Man;Norge;Sidebarreklam;Husbil-Lyx;12.01;2
75;Timothy Parks;44;Kvinna;England;Helsidereklam;Husbil-Sport;6.63;2
76;Joshua House;19;Kvinna;Danmark;Helsidereklam;Husbil-Sport;3.98;0
77;Donald Dickerson Jr.;63;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;4.05;2
78;Mike Daniels;46;Man;Tyskland;Helsidereklam;Husbil-Budget;5.14;2
79;Jennifer Mcdonald;79;Man;Sverige;Helsidereklam;Husbil-Budget;5.92;2
80;Christie Phillips;38;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.1;0
81;Susan Lee;60;Kvinna;Norge;Helsidereklam;Husbil-Budget;3.99;0
82;Curtis Gilbert;64;Man;Sverige;Helsidereklam;Husbil-Lyx;4.59;3
83;Jason Young;30;Kvinna;Danmark;Helsidereklam;Husbil-Budget;3.73;2
84;David Larsen;45;Man;Norge;Sidebarreklam;Husbil-Familj;11.97;4
85;Lawrence Wilkins;33;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;11.93;1
86;Wesley Allen;65;Kvinna;England;Sidebarreklam;Husbil-Sport;11.93;1
87;Leslie Marshall;48;Man;Sverige;Sidebarreklam;Husbil-Sport;11.88;1
88;Justin Boone;40;Kvinna;Danmark;Helsidereklam;Husbil-Budget;9.6;3
89;James Barr;38;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
90;Justin Patrick;39;Kvinna;Norge;Sidebarreklam;Husbil-Sport;11.87;0
91;Alyssa Grant;45;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
92;Crystal Donovan;53;Man;Sverige;Helsidereklam;Husbil-Familj;1.62;0
93;Sarah Holden DDS;62;Man;Danmark;Helsidereklam;Husbil-Sport;4.52;0
94;Kathryn Ortiz;52;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.1;0
95;Alyssa Noble;45;Kvinna;Norge;Helsidereklam;Husbil-Budget;5.43;1
96;Claudia Santos;40;Man;Sverige;Sidebarreklam;Husbil-Familj;11.83;2
97;Richard Thompson;68;Man;Tyskland;Sidebarreklam;Husbil-Lyx;11.82;1
98;Madison Vaughn;52;Man;Norge;Sidebarreklam;Husbil-Sport;11.74;1
99;Jennifer Welch;20;Man;Danmark;Helsidereklam;Husbil-Budget;2.57;1
100;John Patterson;28;Man;Norge;Sidebarreklam;Husbil-Familj;11.74;0
101;Shane Harrison;30;Man;Norge;Helsidereklam;Husbil-Lyx;2.04;0
102;Jon Ford;53;Man;Sverige;Helsidereklam;Husbil-Familj;3.38;2
103;Kristin Rowland;19;Man;Sverige;Helsidereklam;Husbil-Budget;3.81;0
104;Michael Summers;44;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;11.73;3
105;Jose Coleman;26;Kvinna;Tyskland;Helsidereklam;Husbil-Lyx;3.3;3
106;Shirley Cook;40;Kvinna;England;Helsidereklam;Husbil-Familj;3.88;2
107;Donald Foster;70;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
108;Anthony Novak;66;Man;Sverige;Sidebarreklam;Husbil-Budget;11.66;0
109;Randy Jensen;72;Man;Sverige;Sidebarreklam;Husbil-Sport;11.64;2
110;Joshua Sosa;23;Man;Danmark;Sidebarreklam;Husbil-Lyx;11.63;1
111;Lauren Johnson;46;Man;Sverige;Sidebarreklam;Husbil-Familj;11.62;2
112;Jennifer Smith;22;Man;Sverige;Helsidereklam;Husbil-Familj;6.87;0
113;Christine Contreras;61;Man;Danmark;Popuppreklam med musik;Husbil-Lyx;0.1;0
114;Jacob Walsh;52;Kvinna;Norge;Helsidereklam;Husbil-Budget;7.06;2
115;Jessica Lee;55;Man;Norge;Sidebarreklam;Husbil-Sport;11.61;3
116;Mary Austin;69;Kvinna;Tyskland;Popuppreklam med musik;Husbil-Sport;0.1;0
117;Vincent Mitchell;77;Man;Danmark;Helsidereklam;Husbil-Sport;6.95;1
118;Cynthia Campbell;44;Kvinna;Sverige;Sidebarreklam;Husbil-Familj;11.53;0
119;Michelle Williams;57;Man;Sverige;Sidebarreklam;Husbil-Familj;11.5;1
120;Karen Fry;32;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;11.46;0
121;Amanda Williams;64;Man;Norge;Popuppreklam med musik;Husbil-Familj;0.1;0
122;Laurie Thomas;38;Man;Sverige;Sidebarreklam;Husbil-Budget;11.45;1
123;Douglas Torres;29;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.1;0
124;Anthony Mathis;28;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;8.27;1
125;Mary Morgan;27;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;1.75;2
126;Kelli Joseph;41;Man;Norge;Sidebarreklam;Husbil-Lyx;11.44;2
127;Rodney Avila;46;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
128;Christopher Mercado;72;Man;Sverige;Sidebarreklam;Husbil-Familj;11.42;1
129;Kevin Walker PhD;59;Man;Tyskland;Helsidereklam;Husbil-Budget;8.05;1
130;Kerry Bass;43;Man;Norge;Helsidereklam;Husbil-Budget;4.48;1
131;Jeffrey Brown DDS;53;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
132;Randall Brooks;29;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
133;Dr. Robert Taylor;41;Man;Danmark;Helsidereklam;Husbil-Lyx;8.02;1
134;Julie Norris;23;Man;Norge;Helsidereklam;Husbil-Sport;1.01;0
135;Guy Hernandez;79;Man;Sverige;Helsidereklam;Husbil-Familj;4.28;1
136;Diana Banks;74;Man;Sverige;Sidebarreklam;Husbil-Budget;11.34;2
137;Angelica Brooks;60;Man;Sverige;Helsidereklam;Husbil-Lyx;1.83;1
138;Alexis Farley;41;Man;England;Sidebarreklam;Husbil-Sport;11.33;1
139;Tina Black;65;Man;Sverige;Sidebarreklam;Husbil-Familj;11.26;0
140;Sarah Tate;76;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
141;Stephanie Lopez;44;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;0.1;0
142;Stacy Pugh;37;Man;Sverige;Helsidereklam;Husbil-Budget;4.59;2
143;Theresa Richards;73;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.1;0
144;Candace Wheeler;44;Man;Sverige;Sidebarreklam;Husbil-Budget;11.25;2
145;Pam Lewis;72;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;11.18;1
146;Jesse Fowler;69;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
147;James Garcia;36;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.1;0
148;David Howell;70;Man;England;Sidebarreklam;Husbil-Familj;11.16;0
149;Kimberly Hamilton;26;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
150;Kenneth Klein;41;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
151;Julia Simmons;58;Kvinna;Norge;Popuppreklam med musik;Husbil-Budget;0.1;0
152;Randy Avery;76;Man;Sverige;Helsidereklam;Husbil-Sport;2.14;1
153;Matthew Ramos;23;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;8.08;2
154;Catherine Stevens;63;Kvinna;Danmark;Sidebarreklam;Husbil-Sport;11.1;2
155;James Oconnor DDS;45;Man;Sverige;Sidebarreklam;Husbil-Budget;11.02;2
156;Mia Dixon;49;Man;England;Helsidereklam;Husbil-Sport;3.52;0
157;Richard Chambers;61;Kvinna;Norge;Sidebarreklam;Husbil-Budget;10.98;1
158;Heather Fry;66;Kvinna;Norge;Helsidereklam;Husbil-Sport;2.76;1
159;Dwayne Lara;34;Man;Danmark;Helsidereklam;Husbil-Lyx;3.49;0
160;Jordan Moore;27;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;10.97;1
161;Christopher Contreras;32;Man;Danmark;Sidebarreklam;Husbil-Sport;10.96;1
162;Lisa Calhoun;78;Man;Sverige;Sidebarreklam;Husbil-Lyx;10.95;2
163;Justin Miller;72;Kvinna;Danmark;Popuppreklam med musik;Husbil-Budget;0.1;0
164;James Ortiz;60;Man;Norge;Sidebarreklam;Husbil-Sport;10.93;0
165;Zachary Fowler;34;Man;Danmark;Helsidereklam;Husbil-Budget;3.32;0
166;Rebecca West;19;Man;Sverige;Sidebarreklam;Husbil-Lyx;10.86;0
167;Pamela Miller;34;Man;Norge;Sidebarreklam;Husbil-Sport;10.86;0
168;Jennifer Roth;76;Man;England;Popuppreklam med musik;Husbil-Budget;0.1;0
169;Erin Williams;80;Man;Sverige;Helsidereklam;Husbil-Lyx;6.93;1
170;Daniel Harper;62;Man;Sverige;Sidebarreklam;Husbil-Lyx;10.84;0
171;Vincent Yates;39;Kvinna;Danmark;Helsidereklam;Husbil-Familj;3.58;0
172;Jacob Garza;21;Man;Sverige;Sidebarreklam;Husbil-Sport;10.83;0
173;Mark Richardson;39;Man;Norge;Sidebarreklam;Husbil-Budget;10.82;3
174;Ashley Ruiz;51;Man;Danmark;Sidebarreklam;Husbil-Budget;10.79;2
175;Michael Keith;60;Man;Norge;Sidebarreklam;Husbil-Lyx;10.75;1
176;Chad Long;71;Man;Danmark;Sidebarreklam;Husbil-Lyx;10.74;3
177;Janet Scott;68;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;10.73;0
178;Matthew Harris;51;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
179;Samantha Rowland;23;Man;Sverige;Helsidereklam;Husbil-Budget;8.15;0
180;Carrie Livingston;36;Man;Norge;Sidebarreklam;Husbil-Familj;10.69;1
181;Matthew Olson;55;Man;Sverige;Sidebarreklam;Husbil-Sport;10.67;1
182;Nicole Barnes;47;Kvinna;Sverige;Sidebarreklam;Husbil-Familj;10.58;0
183;Amy Charles;35;Kvinna;Norge;Popuppreklam med musik;Husbil-Budget;0.1;0
184;Shannon Franklin;78;Man;Sverige;Helsidereklam;Husbil-Sport;5.75;1
185;Erin Owen;48;Kvinna;Norge;Helsidereklam;Husbil-Sport;5.78;0
186;Matthew Anthony;46;Kvinna;Norge;Helsidereklam;Husbil-Familj;8.78;2
187;Laurie Cantu;39;Kvinna;Sverige;Sidebarreklam;Husbil-Sport;10.55;2
188;Tina Martin;64;Man;Sverige;Sidebarreklam;Husbil-Budget;10.48;1
189;Matthew Robinson;43;Man;Sverige;Sidebarreklam;Husbil-Sport;10.47;1
190;Meredith Snyder;69;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;7.75;0
191;Michelle Gutierrez;27;Man;Sverige;Helsidereklam;Husbil-Sport;8.85;0
192;Courtney Odonnell;44;Man;Danmark;Helsidereklam;Husbil-Sport;5.01;0
193;Michelle Price;72;Man;Sverige;Sidebarreklam;Husbil-Familj;10.44;1
194;Jeremy Bartlett;64;Kvinna;Norge;Helsidereklam;Husbil-Familj;0.1;0
195;Sheena Buckley PhD;43;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.1;0
196;Madison Liu;55;Kvinna;Danmark;Helsidereklam;Husbil-Familj;8.78;1
197;Robert Smith;39;Man;England;Popuppreklam med musik;Husbil-Familj;0.1;0
198;Colleen Garrett MD;40;Man;Sverige;Sidebarreklam;Husbil-Lyx;10.43;1
199;Christine George;78;Kvinna;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
200;Lori Alexander;27;Man;Sverige;Sidebarreklam;Husbil-Lyx;10.37;1
201;Vincent Thompson;51;Man;Norge;Helsidereklam;Husbil-Sport;3.7;2
202;Amy Williams;59;Man;Sverige;Sidebarreklam;Husbil-Budget;10.35;1
203;Melissa Gallegos;58;Man;Norge;Sidebarreklam;Husbil-Sport;10.32;3
204;Latoya Solomon;29;Man;Sverige;Helsidereklam;Husbil-Familj;7.98;0
205;Lindsey Vargas;38;Man;Norge;Sidebarreklam;Husbil-Lyx;10.32;0
206;Donna Martin;25;Man;Danmark;Sidebarreklam;Husbil-Sport;10.31;1
207;Manuel Thomas;44;Man;Sverige;Sidebarreklam;Husbil-Familj;10.29;0
208;Paul Park;20;Kvinna;Danmark;Sidebarreklam;Husbil-Lyx;10.27;1
209;Tina Mitchell;61;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.1;0
210;Brenda Waters;23;Man;Norge;Helsidereklam;Husbil-Familj;1.38;0
211;Maria Fowler;24;Kvinna;Norge;Helsidereklam;Husbil-Familj;3.92;1
212;Jessica Baxter;54;Man;Sverige;Helsidereklam;Husbil-Budget;0.1;0
213;Brian Hill;35;Man;Norge;Sidebarreklam;Husbil-Lyx;10.26;0
214;Joshua Armstrong;33;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;10.23;1
215;Anthony Mcgrath;56;Man;Norge;Helsidereklam;Husbil-Lyx;4.67;0
216;Joyce Nunez;35;Kvinna;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
217;Spencer Anderson;37;Man;Sverige;Helsidereklam;Husbil-Familj;7.18;2
218;Christopher Stewart;47;Man;Sverige;Helsidereklam;Husbil-Sport;5.91;1
219;Casey Carey;23;Man;Sverige;Helsidereklam;Husbil-Familj;0.1;0
220;Theodore Shea;64;Man;Norge;Helsidereklam;Husbil-Lyx;8.95;1
221;Raymond Bridges DDS;24;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
222;Julie Russell;78;Man;Danmark;Sidebarreklam;Husbil-Familj;10.23;1
223;Adam Salinas;42;Man;Danmark;Popuppreklam med musik;Husbil-Lyx;0.1;0
224;Justin Mcdaniel;72;Man;Sverige;Sidebarreklam;Husbil-Budget;10.21;1
225;Dr. Stephen Dyer;77;Man;Danmark;Sidebarreklam;Husbil-Familj;10.18;0
226;Kevin Romero;57;Man;Norge;Helsidereklam;Husbil-Lyx;5.64;0
227;Alexis Garcia;37;Man;Sverige;Sidebarreklam;Husbil-Familj;10.16;1
228;Michael Mack;36;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
229;Benjamin Miller;32;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.1;0
230;David Combs;60;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
231;Brendan Reed;63;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
232;Nicholas Cervantes;69;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
233;Stacey Dyer;49;Man;Sverige;Sidebarreklam;Husbil-Lyx;10.11;1
234;Patricia Hayes;70;Man;Sverige;Popuppreklam med musik;Husbil-Lyx;0.1;0
235;Ronald Roberts;41;Kvinna;Danmark;Helsidereklam;Husbil-Familj;1.38;0
236;Jessica Whitaker;33;Man;Sverige;Helsidereklam;Husbil-Budget;5.88;0
237;Tyler Robinson;23;Man;Norge;Helsidereklam;Husbil-Budget;3.89;0
238;Diana Simmons;59;Man;Sverige;Sidebarreklam;Husbil-Familj;10.1;1
239;Alison Welch;36;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.1;0
240;Jason Bryant;72;Man;Sverige;Helsidereklam;Husbil-Sport;1;0
241;Shelly Scott;61;Man;England;Sidebarreklam;Husbil-Budget;10.08;0
242;Henry Mclaughlin;36;Kvinna;Norge;Sidebarreklam;Husbil-Sport;10.06;3
243;Clinton Williams;67;Kvinna;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
244;Elizabeth Greene;48;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.1;0
245;Andrea Tucker;50;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
246;Briana Robinson;50;Man;Norge;Helsidereklam;Husbil-Sport;3.37;0
247;Christine Bishop;80;Man;Norge;Sidebarreklam;Husbil-Budget;10.04;0
248;Deanna Finley;52;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
249;Brandi Perez;63;Man;Norge;Helsidereklam;Husbil-Sport;5.08;0
250;Kyle Jimenez;32;Man;Sverige;Helsidereklam;Husbil-Budget;8.02;0
251;Tammy Sanders;58;Man;Norge;Sidebarreklam;Husbil-Familj;9.98;2
252;Michael Boyd;62;Man;Sverige;Popuppreklam med musik;Husbil-Sport;0.1;0
253;Caitlin Hill;46;Man;Tyskland;Popuppreklam med musik;Husbil-Sport;0.1;0
254;Malik Sims;79;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.1;0
255;Paul Grimes;72;Man;Norge;Helsidereklam;Husbil-Sport;5.73;2
256;David Bean;37;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
257;Patrick Marquez;75;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.96;1
258;Amy Curtis;60;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
259;Kathleen Palmer;59;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;7.56;2
260;Christian Roberts;51;Kvinna;Tyskland;Sidebarreklam;Husbil-Budget;9.96;2
261;Julia Cox;42;Man;Sverige;Helsidereklam;Husbil-Lyx;3.59;0
262;Roberto Welch;62;Man;Sverige;Popuppreklam med musik;Husbil-Familj;0.1;0
263;Jay Peterson;62;Kvinna;Norge;Sidebarreklam;Husbil-Familj;9.95;1
264;Leah Farrell;55;Man;Sverige;Helsidereklam;Husbil-Budget;6.18;1
265;Brad Watson;26;Man;Danmark;Helsidereklam;Husbil-Lyx;5.59;1
266;Steven Walker;24;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
267;Wendy Williams;42;Man;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
268;Laura Garrett;25;Man;Sverige;Helsidereklam;Husbil-Familj;4.5;0
269;Charlene Ramirez;39;Man;Sverige;Sidebarreklam;Husbil-Familj;9.94;0
270;Michael Davenport MD;24;Kvinna;Danmark;Popuppreklam med musik;Husbil-Familj;0.1;0
271;Colin Allen;80;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
272;Shane Gardner;24;Kvinna;Danmark;Helsidereklam;Husbil-Budget;0.74;0
273;Matthew Cole MD;51;Kvinna;Danmark;Helsidereklam;Husbil-Sport;3.66;2
274;Samantha Murray;30;Kvinna;Tyskland;Popuppreklam med musik;Husbil-Familj;0.1;0
275;Joseph Clark;32;Man;Norge;Popuppreklam med musik;Husbil-Sport;0.1;0
276;Cory George;31;Kvinna;Danmark;Popuppreklam med musik;Husbil-Sport;0.1;0
277;Melissa Thornton;20;Kvinna;Danmark;Sidebarreklam;Husbil-Familj;9.93;2
278;Charles Lozano;32;Man;England;Helsidereklam;Husbil-Sport;5.26;1
279;Patricia Beck;55;Man;Sverige;Helsidereklam;Husbil-Sport;7.72;1
280;Derrick Fowler;18;Kvinna;Danmark;Sidebarreklam;Husbil-Familj;9.9;0
281;Samantha Norris;41;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
282;Jonathan Olson;20;Man;Danmark;Sidebarreklam;Husbil-Lyx;9.9;1
283;Angela Holt;23;Man;Norge;Popuppreklam med musik;Husbil-Budget;0.1;0
284;Jean Moran;18;Kvinna;Danmark;Sidebarreklam;Husbil-Budget;9.86;2
285;Richard Hurst;53;Man;England;Helsidereklam;Husbil-Familj;9.76;1
286;Tammy Cruz;21;Kvinna;Norge;Popuppreklam med musik;Husbil-Lyx;0.1;0
287;Lisa Mitchell;80;Kvinna;Danmark;Helsidereklam;Husbil-Sport;4.38;1
288;Erica Collins;33;Man;Sverige;Popuppreklam med musik;Husbil-Budget;0.1;0
289;Joseph Horne MD;64;Man;Norge;Helsidereklam;Husbil-Sport;3.39;0
290;Ashley Rasmussen;20;Man;Sverige;Helsidereklam;Husbil-Familj;3.04;0
291;Matthew Johnson;45;Kvinna;Danmark;Popuppreklam med musik;Husbil-Lyx;0.1;0
292;Brad Morrison;78;Kvinna;Danmark;Helsidereklam;Husbil-Lyx;2.95;1
293;Joshua Thomas;20;Man;Norge;Sidebarreklam;Husbil-Budget;9.85;1
294;Judith Mcbride;40;Man;Tyskland;Helsidereklam;Husbil-Lyx;3.31;0
295;Nathaniel Jenkins;62;Man;Sverige;Sidebarreklam;Husbil-Budget;9.81;1
296;Jesus Parker MD;59;Man;Sverige;Helsidereklam;Husbil-Budget;5.77;2
297;Emily Dunn;39;Kvinna;England;Popuppreklam med musik;Husbil-Budget;0.1;0
298;Renee Kane DDS;28;Kvinna;Danmark;Helsidereklam;Husbil-Budget;8.6;2
299;Heather Nelson;73;Man;Norge;Helsidereklam;Husbil-Lyx;1.97;1
300;Andre Ramsey;42;Man;Sverige;Sidebarreklam;Husbil-Lyx;9.81;1
301;Elizabeth Reed;66;Man;Danmark;Popuppreklam med musik;Husbil-Familj;0.1;0
302;Kimberly Mccarthy;68;Kvinna;Norge;Helsidereklam;Husbil-Lyx;6.84;0
303;Andrew Bray;22;Man;Norge;Sidebarreklam;Husbil-Familj;9.79;1
304;Sharon Dillon;54;Kvinna;Sverige;Sidebarreklam;Husbil-Familj;9.78;1
